Scientific name,Count
Anthoxanthum odoratum,155287
Erynnis tages,154843
Sambucus nigra,154733
Speyeria aglaja,154577
Calidris alba,154154
Bellis perennis,153054
Diarsia mendica,153033
Rumex acetosa,153017
Conistra vaccinii,152761
Gavia stellata,152760
Hyacinthoides non-scripta,151924
Bryophila domestica,150337
Emberiza calandra,149425
Hoplodrina blanda,149097
Xylocampa areola,147909
Lotus corniculatus,147532
Athene noctua,146874
Falco subbuteo,145037
Rumex obtusifolius,144913
Mythimna ferrago,144822
Cirsium vulgare,144194
Bombus pascuorum,143022
Cygnus cygnus,142589
Cabera pusaria,142533
Ranunculus acris,142498
Cerastium fontanum,141122
Phalera bucephala,140504
Eilema griseola,140231
Scolopax rusticola,140195
Vulpes vulpes,139510
Pteridium aquilinum,139249
Hedera helix,138637
Orthosia cruda,138613
Prunella vulgaris,138610
Charadrius dubius,138012
Arrhenatherum elatius,137024
Agrotis segetum,136757
Trifolium pratense,136279
Centaurea nigra sens. lat. (=nigra/debeauxii),136254
Agrostis stolonifera,135899
Filipendula ulmaria,135807
Corylus avellana,135772
Tyria jacobaeae,135744
Alca torda,134637
Ecliptopera silaceata,133868
Lolium perenne,133354
Saxicola rubetra,132509
Agrostis capillaris,130252
Anthus trivialis,129883
Quercus robur,129752
Plantago major,129484
Xanthorhoe designata,128413
Anthriscus sylvestris,126989
Geranium robertianum,126796
Impatiens glandulifera,126028
Veronica chamaedrys,123734
Gandaritis pyraliata,123404
Cabera exanthemata,123020
Prunus spinosa,122936
Phragmatobia fuliginosa,122168
Timandra comae,120986
Oligia fasciuncula,120661
Korscheltellus lupulina,120583
Callophrys rubi,120051
Potentilla erecta,120032
Potamopyrgus antipodarum,119406
Ourapteryx sambucaria,118642
Hypochaeris radicata,118514
Poa annua,117868
Noctua fimbriata,117614
Habrosyne pyritoides,117338
Lomographa temerata,117338
Euproctis similis,116699
Camptogramma bilineata,116236
Cirsium palustre,116101
Coccinella septempunctata,115502
Taraxacum,114316
Deschampsia cespitosa,113834
Mamestra brassicae,113468
Anax imperator,111451
Herminia tarsipennalis,111368
Locustella naevia,110937
Silene dioica,110863
Aeshna cyanea,110222
Epilobium hirsutum,109990
Charanyca trigrammica,109151
Lepus europaeus,108807
Poecile montanus,108623
Calluna vulgaris,108353
Branta bernicla bernicla,108207
Chamerion angustifolium,107982
Falco columbarius,107854
Calidris pugnax,107462
Branta leucopsis,107456
Euthrix potatoria,107437
Rana temporaria,107431
Cynosurus cristatus,106681
Aix galericulata,106374
Thymelicus lineola,105924
Ectropis crepuscularia,105577
Lathyrus pratensis,105244
Digitalis purpurea,105076
Geum urbanum,104755
Xanthorhoe spadicearia,104736
Poa trivialis,104654
Pheosia gnoma,104399
Meles meles,103966
Pasiphila rectangulata,103940
Notodonta ziczac,103681
Dryopteris dilatata,103227
Aeshna grandis,103085
Ficedula hypoleuca,102984
Angelica sylvestris,102953
Ulex europaeus,102382
Odontopera bidentata,102106
Melanchra persicariae,101422
Puffinus puffinus,101278
Capreolus capreolus,101031
Streptopelia turtur,100801
Bombus terrestris,100626
Alnus glutinosa,100443
Apamea lithoxylaea,100409
Rusina ferruginea,100207
Apamea sordens,100182
Eupithecia centaureata,99929
Glechoma hederacea,99826
Fallopia japonica,99173
Agrochola lychnidis,99166
Viola riviniana,98978
Ficaria verna,98741
Thera obeliscata,98716
Lucanus cervus,98384
Jacobaea,98216
Hipparchia semele,98195
Lonicera periclymenum,98063
Stachys sylvatica,97927
Sorbus aucuparia,97716
Chloroclysta siterata,97680
Libellula quadrimaculata,97517
Aporophyla nigra,97171
Cilix glaucata,97115
Fagus sylvatica,96917
Circus cyaneus,96197
Ennomos alniaria,96035
Crex crex,95638
Abraxas grossulariata,95473
Festuca rubra,94344
Triturus cristatus,94199
Aeshna mixta,94003
Apamea crenata,93974
Cardamine pratensis,93919
Asio flammeus,93774
Favonius quercus,93073
Potentilla anserina,91664
Colias croceus,91497
Petrophora chlorosata,91073
Amphipyra tragopoginis,90669
Dryopteris filix-mas,90267
Autographa pulchrina,89979
Boloria selene,89958
Pterostoma palpina,89954
Ptilodon capucina,89280
Pheosia tremula,89070
Calopteryx splendens,88757
Talpa europaea,88175
